iter	MultiClass
227	0.2163954981
228	0.2163199796
229	0.216245248
230	0.2161601941
231	0.2160986003
232	0.2160300571
233	0.2159673813
234	0.2158743653
235	0.2158010241
236	0.2156986577
237	0.2156317609
238	0.2155267194
239	0.215418379
240	0.2153392942
241	0.2152838981
242	0.2152314569
243	0.2151263064
244	0.2150522552
245	0.2150061668
246	0.2149180226
247	0.2148596954
248	0.2147886912
249	0.2146793036
250	0.2145567383
251	0.2144943986
252	0.2144008952
253	0.2143166399
254	0.2142670621
255	0.214180006
256	0.2140558476
257	0.2139861314
258	0.2139320568
259	0.2138281772
260	0.2137417473
261	0.2136777182
262	0.2136308005
263	0.213566176
264	0.2134863108
265	0.2134071339
266	0.2132983867
267	0.2132107087
268	0.2131206532
269	0.2129982525
270	0.2129210334
271	0.2128049407
272	0.2126842057
273	0.21265723
274	0.2125657737
275	0.2125081298
276	0.2123943326
277	0.2123194663
278	0.2122670331
279	0.2121666559
280	0.2120965946
281	0.212027578
282	0.2119533912
283	0.2118872854
284	0.2118127759
285	0.2117385292
286	0.2116303947
287	0.2115759605
288	0.2115124878
289	0.2114180041
290	0.2112919947
291	0.2112287563
292	0.211152233
293	0.211098107
294	0.2109909675
295	0.2109112751
296	0.2108502756
297	0.2107857781
298	0.2107188457
299	0.2106718823
300	0.2105872913
301	0.2105055213
302	0.2104510875
303	0.2103786939
304	0.2103080258
305	0.2102238401
306	0.2101768059
307	0.2101188156
308	0.2100425277
309	0.2099871006
310	0.2099454653
311	0.2098687627
312	0.2097741551
313	0.2096391984
314	0.2096180046
315	0.2095788451
316	0.2095305376
317	0.2094697584
318	0.2093955935
319	0.2093013628
320	0.2092279161
321	0.2091858309
322	0.2091177148
323	0.2090272493
324	0.2089302269
325	0.2088709244
326	0.2088000826
327	0.208735648
328	0.208675913
329	0.2086296035
330	0.2085122229
331	0.2084450287
332	0.2083954004
333	0.2083170953
334	0.2082500973
335	0.2082015996
336	0.2081479188
337	0.2080859163
338	0.2079945291
339	0.2079236006
340	0.2078555589
341	0.207787573
342	0.2077240903
343	0.207641922
344	0.2075535718
345	0.2074590995
346	0.2073296785
347	0.2072384012
348	0.2071835556
349	0.2071078358
350	0.2070251219
351	0.2069547308
352	0.2069218903
353	0.2068668083
354	0.2068306413
355	0.2067527916
356	0.2067121485
357	0.2066602843
358	0.2066105939
359	0.2065236653
360	0.2064691542
361	0.2064039564
362	0.2063460316
363	0.20628471
364	0.2062163569
365	0.2061279233
366	0.2060592946
367	0.2059766563
368	0.2059450069
369	0.2057720013
370	0.2057260199
371	0.2056726836
372	0.2055940624
373	0.2055452093
374	0.2054142169
375	0.2053387852
376	0.2052453315
377	0.2051806981
378	0.2051215488
379	0.205036692
380	0.2049508555
381	0.2048759833
382	0.2048226057
383	0.2047545207
384	0.2046857007
385	0.2046250337
386	0.2045633315
387	0.2045134079
388	0.2044494031
389	0.2043848873
390	0.2043130996
391	0.2042206843
392	0.2041435145
393	0.2040961641
394	0.2040380956
395	0.2039835336
396	0.203870033
397	0.2038005863
398	0.2037483983
399	0.2036739113
400	0.2036153281
401	0.2035541265
402	0.2034701465
403	0.2033878505
404	0.2033106239
405	0.2032326506
406	0.2031612089
407	0.2031154597
408	0.2030552565
409	0.202956125
410	0.202878356
411	0.2027784412
412	0.2027094143
413	0.2026574172
414	0.2026114651
415	0.2025612263
416	0.2025220504
417	0.2024733065
418	0.2024394641
419	0.2023610888
420	0.2023155938
421	0.2022694313
422	0.2021980085
423	0.2021379633
424	0.2020616641
425	0.2019591737
426	0.201886242
427	0.2018001051
428	0.2017282865
429	0.2016733585
430	0.2016318458
431	0.2015865023
432	0.2015499397
433	0.2014974043
434	0.201455947
435	0.2013642778
436	0.2013057428
437	0.2012520312
438	0.2011933417
439	0.2011486924
440	0.2010825001
441	0.201047854
442	0.2010074762
443	0.200948629
444	0.2009060351
445	0.2007855051
446	0.2006948986
447	0.2006435034
448	0.2005947883
449	0.2005407873
450	0.2004722366
451	0.2004263163
452	0.2003306167
453	0.2002786652
454	0.2002135574
455	0.2001450141
456	0.2000556188
457	0.2000120094
458	0.1999506972
459	0.1998860638
460	0.1997957441
461	0.1997491677
462	0.1997032336
463	0.1996573966
464	0.1995996847
465	0.1995421452
466	0.1995042852
467	0.1994382195
468	0.1993967055
469	0.1993520389
470	0.1993036175
471	0.1992435894
472	0.1992087281
473	0.199144473
474	0.1990871736
475	0.1990426324
476	0.1989523462
477	0.1988799169
478	0.1988480085
479	0.1987946594
480	0.1987471915
481	0.198696206
482	0.1986397887
483	0.1985883998
484	0.1985476355
485	0.1984939928
486	0.1984499542
487	0.1983684108
488	0.1982863804
489	0.1982242496
490	0.1981836336
491	0.1981272078
492	0.1981030137
493	0.198034818
494	0.1979688734
495	0.1979192392
496	0.197846717
497	0.1977740791
498	0.1977395944
499	0.1976924166
